second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
139,high,505,505,0,505,1.0,5528.889937999338,5967.300658999375,5982.793717361637,5517.765534932633,1.2250822026544486
140,high,485,485,1,484,0.9979381443298969,5521.467122998729,5848.542378200364,5977.196692600628,5489.690021841208,99.94317303098798
141,high,498,498,3,495,0.9939759036144579,5521.707900500587,5963.069838950105,5981.03920939071,5509.196803600418,1.1993821953183212
142,high,489,489,5,484,0.9897750511247444,5518.8490849996015,5961.488859200472,5973.2543009995425,5490.36738180157,72.75262691728135
143,high,509,509,8,501,0.9842829076620825,5515.219294000417,5972.922268000548,5983.831188038894,5476.740719907725,5.3676402545534145
144,high,500,500,100,400,0.8,5356.135703000291,5940.730198300571,5977.5270804901265,4438.9029721780535,1.5126246004911132
145,high,496,496,80,416,0.8387096774193549,5341.4695644996755,5959.1316897494835,5986.956299849862,4721.492460796372,101.06534960459612
146,high,509,509,0,509,1.0,5521.284313999786,5964.967791999516,5985.486530960188,5506.936225186611,2.5856847987597673
147,high,510,510,0,510,1.0,5517.466334000346,5964.225317099226,5992.813349671069,5495.306608923509,1.2378671613987535
148,high,487,487,0,487,1.0,5499.6047589993395,5964.966377800374,5981.743374719408,5491.956007002043,78.97713590482451
149,high,488,488,0,488,1.0,5476.345709999805,5957.358768699851,5973.336949771037,5403.760172965196,1.2076709129360095
150,drop,79,79,0,79,1.0,5392.159205999633,5917.947348500093,5961.055487499107,5030.665694088615,2.129548963421252
151,low,79,79,0,79,1.0,5244.737654998971,5929.701642098917,5962.607472639102,3958.30653667073,1.165903943910962
152,low,80,80,0,80,1.0,5355.987382999956,5938.287119499455,5965.662951400445,4473.382141525053,35.452282700862256
153,low,80,80,0,80,1.0,5343.382275999829,5937.869953351037,5968.328620170469,4262.687938999943,1.6536195014850805
154,low,82,82,0,82,1.0,5314.722842499577,5954.246824299935,5974.84327755983,3869.753208219552,1.2473717390093955
155,low,81,81,0,81,1.0,5302.7512680000655,5933.072649000678,5982.760995198987,4138.192824666858,1.585905654792441
156,low,82,82,0,82,1.0,5363.374273500085,5916.971177899086,5981.942896879918,4416.496079914462,1.219584292812215
157,low,81,81,0,81,1.0,5254.548421000436,5920.577249999042,5985.861900800592,3550.6364674937136,1.1472978894744301
158,low,79,79,0,79,1.0,5372.042217999478,5916.215721700064,5972.159281859604,4352.587298075977,1.171465560037177
159,low,80,80,0,80,1.0,5406.008902000394,5926.927696099119,5981.216145869585,4426.129293837494,1.2310438492932008
160,low,78,78,0,78,1.0,5185.033658000066,5911.338152949975,5972.88037569886,3272.9343762434487,1.1195966267223412
161,low,80,80,0,80,1.0,18.91404500020144,19.51413979886638,19.63017267999021,18.94459833754354,1.2297683509132185
162,low,78,78,0,78,1.0,18.926149499748135,19.498786000076507,19.688221459527995,18.950967358996888,1.2142806007432227
163,low,82,82,0,82,1.0,18.961930500154267,19.503585450911487,213.66450177116118,31.45291919521164,1.1519694861817698
164,low,79,79,0,79,1.0,19.011633999980404,19.496601198989083,19.735293718767934,19.011120772028093,1.1887398719409248
165,low,82,82,0,82,1.0,18.9053710000735,20.36011965119542,20.761218428760913,19.039157658570307,1.1944640350520785
166,low,79,79,0,79,1.0,18.901227000242216,19.381406199318008,244.9783294391443,31.846086000043698,1.1750340287107974
167,low,79,79,0,79,1.0,18.866450000132318,19.47912990090117,244.76383998044068,31.870324556955065,1.1494307065731844
168,low,79,79,0,79,1.0,18.911574999947334,19.402332101162756,19.80841507906007,18.932569645596832,1.1520936699525917
169,low,82,82,0,82,1.0,19.032692999644496,19.453730900750088,24.87699239958595,19.324633609823827,1.1768927991397504
170,low,82,82,0,82,1.0,18.92523849983263,19.973381100226106,20.58968114915842,19.022889000020434,1.2198296498354466
171,low,81,81,0,81,1.0,18.847245000870316,19.45325399901776,22.324790398852233,19.026553580260952,1.139768975917832
172,low,80,80,0,80,1.0,18.99063200016826,19.496010500188277,19.6123358105433,19.014490699942144,1.1885253508808091
173,low,78,78,0,78,1.0,18.943532500088622,19.52848589990026,19.670681919469644,18.93991101277583,1.1617693328844325
174,low,79,79,0,79,1.0,18.935295000119368,19.563228701190383,19.640245060363668,18.956080632949433,1.1881629805429839
175,low,78,78,0,78,1.0,18.939863999548834,19.51276964873614,20.472806041434524,18.985050025712088,1.241332625886571
176,low,82,82,0,82,1.0,18.887651500335778,19.516629450936307,19.592035418609157,18.90226603662574,1.1719844962499337
177,low,78,78,0,78,1.0,18.95050750044902,19.511445099942648,19.57065632996091,18.917569474349595,1.1586435782191984
178,low,81,81,0,81,1.0,19.0762120000727,19.43037599994568,19.520395200015628,19.004773629637416,1.1291100763628492
179,low,78,78,0,78,1.0,18.91381400037062,19.42903379967902,19.716258559165,18.93366839759927,1.1370658648957037
180,low,79,79,0,79,1.0,19.014841000171145,19.839502401009668,20.661631299408327,19.064600481077015,1.1724961546860868
181,low,80,80,0,80,1.0,18.90917499895295,19.537641449460352,20.07151009065637,18.91782148745733,1.1628558510892617
182,low,78,78,0,78,1.0,18.95170199986751,19.375903949730855,19.492206310987967,18.90391544881053,1.1703413784744043
183,low,78,78,0,78,1.0,18.925019499874907,19.482112750029046,19.665684319734282,18.939704153989368,1.1801360329627641
184,low,82,82,0,82,1.0,18.93457149981259,19.780412498676014,61.12197529921103,20.221580109691565,1.1158430686919019
185,low,79,79,0,79,1.0,19.005174000994884,19.531432300391316,21.3458192991311,19.10766120251733,1.1721716920874314
186,low,78,78,0,78,1.0,18.939829498776817,19.51825430023746,19.61021421919213,18.95320833325688,1.1825005160972069
187,low,81,81,0,81,1.0,18.86727700002666,19.42744500047411,19.509013800052344,18.884204987657146,1.1359774453012506
188,low,82,82,0,82,1.0,18.92000249972625,19.48117965057463,19.575203189378954,18.903107365808754,1.0839199232577812
189,low,80,80,0,80,1.0,18.845298499400087,19.587685450005665,50.252385920538785,20.46701808740181,1.1733212510989688
190,low,78,78,0,78,1.0,18.881940500250494,50.12316659831417,71.47566833022216,21.749240871847576,1.6354344922547186
191,low,80,80,0,80,1.0,18.864168999243702,21.69130945094354,118.30106304059866,23.096648900173022,1.159002199801762
192,low,81,81,0,81,1.0,18.835725000826642,19.36092500000086,19.499607399848173,18.855899703856178,1.153082641394576
193,low,79,79,0,79,1.0,18.925145001048804,19.41509789921838,19.535287081162096,18.877499708846873,1.1376460570318159
194,low,80,80,0,80,1.0,18.96965850119159,19.342061949100753,19.508288980068755,18.906430099991667,1.132605550537846
195,low,81,81,0,81,1.0,18.908158999693114,19.59059499858995,19.93844960052229,18.76247675315909,1.1822353462775936
196,low,81,81,0,81,1.0,18.904523998571676,19.496339999022894,19.644765800694586,18.9161752838387,1.1729569250746863
197,low,82,82,37,45,0.5487804878048781,19.315285499942547,47.5162187004571,49.04987336933118,31.194556719461485,1.147231298909901
198,low,82,82,64,18,0.21951219512195122,46.09251800047787,47.4988330501219,47.90225706059573,40.23585484156217,1.1402622012610664
199,low,80,80,60,20,0.25,46.133509499668435,94.9963055511034,134.01428142948114,44.86162907505786,1.2070110006789037
200,low,82,82,64,18,0.21951219512195122,46.22534100053599,48.056690650901146,49.20675951001613,40.491481146423986,1.1745914180210093
201,low,78,78,57,21,0.2692307692307692,45.76320649994159,47.69411279985434,48.29024476961422,38.82015833327247,1.1551843382221705
202,low,80,80,62,18,0.225,46.18646949984395,47.84605899867529,48.74665057963284,40.201145924834236,1.1356087006788582
203,low,81,81,64,17,0.20987654320987653,46.087456999885035,47.64148899994325,48.137040401343256,40.50976782716055,1.1371549644536572
204,low,82,82,64,18,0.21951219512195122,45.87915499996598,47.91758364990528,48.55536556024162,40.24364621953992,1.1360020787833494
205,low,80,80,60,20,0.25,46.04960799952096,48.098755250885006,48.235757429520156,39.45249351252187,1.250174151846295
206,low,80,80,65,15,0.1875,45.92894000143133,47.81882379993476,48.174539410374564,41.02183908757979,1.0652964506334683
207,low,82,82,63,19,0.23170731707317074,45.98969949984166,47.43580459971781,47.755126510910486,39.8937665976097,1.1194486379281443
208,low,80,80,53,27,0.3375,45.926465999400534,47.80727735069377,48.68959254015863,37.162246900038554,1.1716223519215418
209,low,78,78,58,20,0.2564102564102564,46.393308499318664,126.06543854999475,1081.4913178590177,71.11410562808884,1.1808237101831767
210,low,80,80,59,21,0.2625,46.05662350058992,48.16292339864958,48.807015600032166,39.230372400129454,1.7208851009854698
211,low,79,79,55,24,0.3037974683544304,45.885945999543765,47.66828030078614,337.3327935198165,52.214815088495634,1.142356704440317
212,low,81,81,63,18,0.2222222222222222,46.09071300001233,47.88196899971808,48.2722611995996,40.32287453089709,1.1036283958674176
213,low,82,82,67,15,0.18292682926829268,45.84548249931686,47.96217300090575,48.155701528539794,41.22542932931005,1.0967089925543405
214,low,78,78,66,12,0.15384615384615385,46.17721949944098,47.78309469929809,99.53650692108656,45.04376914092763,1.1418417078857601
215,low,79,79,71,8,0.10126582278481013,46.65956999997434,48.352392300148495,49.5274077189606,43.97165003805801,1.1930973996641103
216,low,82,82,82,0,0.0,46.47033599940187,47.61094680034148,48.511940309872436,46.41601118297198,1.0713903053328977
217,low,81,81,81,0,0.0,46.3334260002739,47.592835000614286,48.17586020035378,46.349949617330296,1.1043839258491062
218,low,81,81,81,0,0.0,46.81788300149492,48.5279670010641,58.75598419952444,47.170617407360105,1.1068811727454886
219,low,79,79,76,3,0.0379746835443038,47.132732999671134,281.56176219981717,342.61569041980687,83.7102665442631,1.1384249235561583
220,low,82,82,82,0,0.0,48.49612199996045,1068.1584093495076,1094.5708738603025,153.1748021462346,1.1485373827781586
221,low,82,82,82,0,0.0,46.55552500025806,47.887256699959835,48.28098016023432,46.546492524279664,1.1459763359198405
222,low,82,82,82,0,0.0,46.45307800001319,47.7602484511408,48.17125147077604,46.46395801221554,1.1248353949667944
223,low,80,80,80,0,0.0,46.55888399975083,48.192507048588595,48.52867367972067,46.543986375013446,1.1152624998430838
224,low,81,81,81,0,0.0,46.51632700006303,47.70741900028952,47.989431399764726,46.48651811098885,1.1116317527921638
225,low,78,78,78,0,0.0,46.72529100025713,48.43125854904429,50.342772039530246,46.66679270513459,1.1563772572117161
226,low,78,78,78,0,0.0,46.5069849997235,47.96023854896703,48.386126129298646,46.613620281977305,1.1396584905014606
227,low,78,78,78,0,0.0,46.67186349979602,48.06178390072091,48.26073061938587,46.69134537179605,1.1481977870971605
228,low,78,78,78,0,0.0,46.28173850051098,47.91211665005903,48.35383977959282,46.46030811540979,1.181550675755716
229,low,80,80,79,1,0.0125,46.59367850035778,73.28717865029823,328.8071465891272,62.88374894993467,1.1571896997338627
230,low,82,82,82,0,0.0,46.61010900053952,48.46418400029506,49.17570823996357,46.681088695128516,1.1130145060633367
231,low,80,80,80,0,0.0,46.53960350060515,47.85158815084287,48.3962851699107,46.54781858757815,1.078683650757739
232,low,81,81,81,0,0.0,46.25845200098411,47.84823000045435,48.0626497996127,46.40121576541091,1.1760576417145785
233,low,81,81,81,0,0.0,46.04952299996512,47.709001000839635,48.079207999035134,46.13812927157226,1.0859872854780406
234,low,82,82,82,0,0.0,46.64066199984518,48.01234250089692,48.319213980321365,46.44767001219606,1.0732163278589724
235,low,79,79,79,0,0.0,46.5886270012561,48.338781500206096,48.556387039679976,46.5919546455276,1.1331900876029977
236,low,80,80,80,0,0.0,46.237502000622044,47.84709414907411,48.24375906971909,46.29434252510691,1.0625845013237267
237,low,82,82,82,0,0.0,46.334524000485544,47.8420501990513,48.48510126063047,46.36991892691252,1.1081487405135704
238,low,79,79,79,0,0.0,46.19491799894604,47.95557460038253,48.29883240017807,46.307047734306344,1.1122470294139928
239,low,81,81,81,0,0.0,46.40423199998622,60.69738399855851,141.34608999993364,50.01666280241122,1.1124057673441712
240,low,80,80,80,0,0.0,46.47482100062916,47.79234579982585,51.8222103296647,46.63904274993911,1.222922800116066
241,low,78,78,77,1,0.01282051282051282,46.392767500037735,47.96453385069981,48.139746909582755,46.07274528209997,1.1102662122539186
242,low,79,79,79,0,0.0,46.419181999226566,48.1219658991904,48.71718882037385,46.506600696214065,1.1530385267178644
243,low,79,79,79,0,0.0,46.1962389999826,47.70588640039932,48.07135607999953,46.350804734266845,1.1123642034363
244,low,78,78,78,0,0.0,46.44101049962046,48.01328199882846,48.528294949901465,46.447554602612705,1.1307467526421535
245,low,82,82,82,0,0.0,46.61742500047694,48.18583849910283,49.392564139834576,46.69446178035642,1.1790790696068143
246,low,79,79,79,0,0.0,46.542557000066154,48.03533029935352,48.57054003918165,46.63489311381834,1.138744069794484
247,low,79,79,79,0,0.0,46.521239999492536,47.92385100026877,48.322345380038314,46.56376678484534,1.099610189703526
248,low,81,81,81,0,0.0,46.399904998907004,48.213277999821,48.7430407996726,46.56147024690182,1.1379413826944074
249,low,78,78,76,2,0.02564102564102564,46.29258650038537,85.77382229896105,336.4952715298061,62.31127098726574,1.1632866557192758
250,low,81,81,81,0,0.0,46.72324799867056,48.12041300101555,48.66708779954934,46.72931713566082,1.1788809151767055
251,low,80,80,80,0,0.0,46.4996290002091,47.89225384984093,48.09343006943891,46.45225733763709,1.1139465998894593
